total bases NEW=160 OLD=160  procs 440vs440
   PROC-001: NEW src=['T-058'] act=新增标准库 ent=标准库 dim=标准库状态 n=2
   PROC-002: NEW src=['T-059'] act=停用标准库 ent=标准库 dim=标准库状态 n=2
   PROC-003: NEW src=['T-060'] act=启用标准库 ent=标准库 dim=标准库状态 n=2
   PROC-004: NEW src=['T-051'] act=机构新增实验室信息 ent=实验室 dim=实验室状态 n=2
   PROC-005: NEW src=['T-061'] act=生成审核任务 ent=审核任务 dim=任务状态 n=2
   PROC-006: NEW src=['EO-ATC-001'] act=修改评分方式为分值 ent=项目 dim=评分方式 n=3
   PROC-007: NEW src=['EO-ATC-001'] act=修改评分方式为权重 ent=项目 dim=评分方式 n=3
!! PROC-008: NEW src=['T-001'] act=设计方案编制 ent=项目 dim=项目状态 n=3
   PROC-008: OLD src=['T-007'] act=能力验证计划发布 ent=项目 dim=通知状态 n=3
   PROC-009: NEW src=['RO-BR-027'] act=尝试违反规则操作 ent=报名记录 dim=None n=5
   PROC-010: NEW src=['FIELD-VAL-报名记录'] act=提交含违规值的表单 ent=报名记录 dim=None n=5
!! PROC-011: NEW src=['T-007'] act=能力验证计划发布 ent=项目 dim=通知状态 n=3
   PROC-011: OLD src=['T-001'] act=设计方案编制 ent=项目 dim=项目状态 n=3
!! PROC-012: NEW src=['EO-CRU-001'] act=执行新增项目 ent=项目 dim=None n=3
   PROC-012: OLD src=['T-005'] act=报名 ent=报名记录 dim=发票状态 n=5
!! PROC-013: NEW src=['FIELD-VAL-项目'] act=提交含违规值的表单 ent=项目 dim=None n=3
   PROC-013: OLD src=['T-004'] act=报名 ent=报名记录 dim=费用状态 n=5
!! PROC-014: NEW src=['T-054'] act=实验室审核 ent=实验室 dim=实验室状态 n=2
   PROC-014: OLD src=['EO-CRU-001'] act=执行新增项目 ent=项目 dim=None n=3
!! PROC-015: NEW src=['T-052'] act=机构修改实验室信息 ent=实验室 dim=实验室状态 n=2
   PROC-015: OLD src=['FIELD-VAL-项目'] act=提交含违规值的表单 ent=项目 dim=None n=3
   PROC-016: NEW src=['T-014'] act=能力验证预通知 ent=项目 dim=通知状态 n=3
   PROC-017: NEW src=['T-002'] act=能力验证计划发布 ent=项目 dim=项目状态 n=3
!! PROC-018: NEW src=['T-005'] act=报名 ent=报名记录 dim=发票状态 n=5
   PROC-018: OLD src=['T-063'] act=批量审核 ent=审核任务 dim=任务状态 n=2
!! PROC-019: NEW src=['T-004'] act=报名 ent=报名记录 dim=费用状态 n=5
   PROC-019: OLD src=['T-064'] act=重新提交任务 ent=审核任务 dim=任务状态 n=2
!! PROC-020: NEW src=['T-003'] act=报名 ent=报名记录 dim=报名记录状态 n=5
   PROC-020: OLD src=['T-019'] act=接收能力验证计划并确认 ent=项目 dim=通知状态 n=3
!! PROC-021: NEW src=['T-040'] act=受理用户测量审核报名 ent=项目 dim=项目状态 n=3
   PROC-021: OLD src=['T-046'] act=作业指导书编制 ent=项目 dim=通知状态 n=3
!! PROC-022: NEW src=['T-043'] act=受理用户测量审核报名 ent=报名记录 dim=发票状态 n=5
   PROC-022: OLD src=['T-048'] act=退回预通知 ent=项目 dim=通知状态 n=3
!! PROC-023: NEW src=['T-042'] act=受理用户测量审核报名 ent=报名记录 dim=费用状态 n=5
   PROC-023: OLD src=['T-016'] act=能力验证预通知 ent=项目 dim=项目状态 n=3
!! PROC-024: NEW src=['T-041'] act=受理用户测量审核报名 ent=报名记录 dim=报名记录状态 n=5
   PROC-024: OLD src=['T-055'] act=实验室审核 ent=实验室 dim=实验室状态 n=2
!! PROC-025: NEW src=['T-009'] act=报名审核 ent=报名记录 dim=报名记录状态 n=5
   PROC-025: OLD src=['T-053'] act=机构修改实验室信息 ent=实验室 dim=实验室状态 n=2
!! PROC-026: NEW src=['T-030'] act=重新提交报名 ent=报名记录 dim=报名记录状态 n=5
   PROC-026: OLD src=['T-054'] act=实验室审核 ent=实验室 dim=实验室状态 n=2
!! PROC-027: NEW src=['EO-CRU-014'] act=执行发票上传 ent=报名记录 dim=None n=5
   PROC-027: OLD src=['T-052'] act=机构修改实验室信息 ent=实验室 dim=实验室状态 n=2
!! PROC-028: NEW src=['EO-CRU-015'] act=执行修改备注 ent=报名记录 dim=None n=5
   PROC-028: OLD src=['T-056'] act=停用实验室 ent=实验室 dim=实验室状态 n=2
!! PROC-029: NEW src=['T-044'] act=设计方案编制 ent=项目 dim=项目状态 n=3
   PROC-029: OLD src=['T-057'] act=启用实验室 ent=实验室 dim=实验室状态 n=2
!! PROC-030: NEW src=['EO-CRU-002'] act=执行删除项目 ent=项目 dim=None n=3
   PROC-030: OLD src=['T-003'] act=报名 ent=报名记录 dim=报名记录状态 n=5
