('PROC-001', '标准库', '标准库状态', 0, 'dep_state_phase_map.标准库.标准库状态.启用')
('PROC-002', '标准库', '标准库状态', 0, 'dep_state_phase_map.标准库.标准库状态.停用')
('PROC-003', '标准库', '标准库状态', 0, 'dep_state_phase_map.标准库.标准库状态.启用')
('PROC-004', '标准库', '状态', 0, 'base_data_setup_phase.标准库.0')
('PROC-005', '报名记录', '发票状态', 0, 'fallback')
('PROC-006', '报名记录', '发票状态', 0, 'fallback')
('PROC-007', '报名记录', '报名记录样品状态', 0, 'fallback')
('PROC-008', '报名记录', '报名记录样品状态', 0, 'fallback')
('PROC-009', '报名记录', '报名记录样品状态', 0, 'fallback')
('PROC-010', '报名记录', '报名记录样品状态', 0, 'fallback')
('PROC-011', '报名记录', '报名记录状态', 0, 'phase_table.报名记录状态.报名待审核')
('PROC-012', '报名记录', '报名记录状态', 0, 'phase_table.报名记录状态.报名退回')
('PROC-013', '报名记录', '报名记录状态', 0, 'phase_table.报名记录状态.报名待审核')
('PROC-014', '报名记录', '费用状态', 0, 'fallback')
('PROC-015', '报名记录', '费用状态', 0, 'fallback')
('PROC-016', '报名记录', '通知状态', 0, 'fallback')
('PROC-017', '报名记录', '通知状态', 0, 'fallback')
('PROC-018', '报名记录', '通知状态', 0, 'fallback')
('PROC-019', '报名记录', '通知状态', 0, 'fallback')
('PROC-020', '报名记录', '通知状态', 0, 'fallback')
('PROC-021', '报名记录', '通知状态', 0, 'fallback (rejection variant)')
('PROC-022', '报名记录', '通知状态', 0, 'fallback')
('PROC-023', '报名记录', '通知状态', 0, 'fallback')
('PROC-024', '报名记录', '通知状态', 0, 'fallback')
('PROC-025', '报名记录', '通知状态', 0, 'fallback (rejection variant)')
('PROC-026', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-027', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-028', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-029', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-030', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-031', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-032', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-033', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-034', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-035', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-036', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-037', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-038', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-039', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-040', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-041', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-042', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-043', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-044', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-045', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-046', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-047', '报名记录', None, 0, 'phase_table.报名记录状态.报名待审核')
('PROC-048', '项目', '样品状态', 0, 'dep_state_phase_map.项目.样品状态.待核查')
('PROC-049', '项目', '评分方式', 0, 'dep_map_entry_phase.项目.0')
('PROC-050', '项目', '项目类型', 0, 'dep_map_entry_phase.项目.0')
('PROC-051', '项目', '项目状态', 0, 'dep_state_phase_map.项目.项目状态.待开始')
('PROC-052', '项目', '项目类型', 0, 'dep_map_entry_phase.项目.0')
('PROC-053', '项目', None, 0, 'dep_state_phase_map.项目.min_phase')
('PROC-054', '实验室信息', '实验室状态', 0, 'dep_state_phase_map.实验室信息.实验室状态.待审核')
('PROC-055', '实验室信息', '实验室状态', 0, 'dep_state_phase_map.实验室信息.实验室状态.退回修改')
('PROC-056', '实验室信息', '实验室状态', 0, 'dep_state_phase_map.实验室信息.实验室状态.待审核')
('PROC-057', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-058', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-059', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-060', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-061', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-062', '实验室信息', None, 0, 'dep_state_phase_map.实验室信息.min_phase')
('PROC-063', '项目评价', '评价状态', 0, 'dep_state_phase_map.项目评价.评价状态.待评价')
('PROC-064', '项目评价', '评分方式', 0, 'dep_map_entry_phase.项目评价.0')
('PROC-065', '项目评价', '评分方式', 0, 'dep_map_entry_phase.项目评价.0')
('PROC-066', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-067', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-068', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-069', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-070', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-071', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-072', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-073', '项目评价', None, 0, 'dep_state_phase_map.项目评价.min_phase')
('PROC-074', '流程审批', '审批状态', 0, 'dep_state_phase_map.流程审批.审批状态.待审批')
('PROC-075', '流程审批', None, 0, 'dep_state_phase_map.流程审批.min_phase')
('PROC-076', '流程审批', None, 0, 'dep_state_phase_map.流程审批.min_phase')
('PROC-077', '流程审批', None, 0, 'dep_state_phase_map.流程审批.min_phase')
('PROC-078', '流程审批', None, 0, 'dep_state_phase_map.流程审批.min_phase')
('PROC-079', '流程审批', None, 0, 'dep_state_phase_map.流程审批.min_phase')
('PROC-080', '报名记录', '报名记录状态', 1, 'phase_table.报名记录状态.报名成功')
('PROC-081', '报名记录', '报名记录状态', 1, 'phase_table.报名记录状态.报名成功 (rejection varia')
('PROC-082', '项目', '样品状态', 1, 'dep_state_phase_map.项目.样品状态.已核查')
('PROC-083', '项目', '项目状态', 1, 'dep_state_phase_map.项目.项目状态.报名中')
('PROC-084', '项目', '项目状态', 1, 'dep_state_phase_map.项目.项目状态.报名中')
('PROC-085', '项目', None, 1, 'domain_precond_creation.T-001.P1')
